Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio
BruteForce,{},0.0000,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 1000}",0.0175,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 2000}",0.0336,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 1000}",0.0091,True,0.6667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 2000}",0.0091,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 1000}",0.0173,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 2000}",0.0341,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 1000}",0.0100,True,0.6667
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 2000}",0.0095,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",0.1988,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",0.2331,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",0.1757,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",0.2113,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",0.2067,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2}",0.2455,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1}",0.1960,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2}",0.2211,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",0.4941,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",0.6074,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",0.4451,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",0.5394,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",0.5310,True,0.6667
