Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio
BruteForce,{},60.2398,True,0.8750
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 1000}",0.0292,False,24.1667
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.99, 'num_iterations': 2000}",0.0422,False,10.3333
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 1000}",0.0190,False,10.5000
SimulatedAnnealing,"{'initial_temp': 1000, 'cooling_rate': 0.95, 'num_iterations': 2000}",0.0420,False,13.8333
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 1000}",0.0201,False,11.3750
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'num_iterations': 2000}",0.0380,False,9.5000
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 1000}",0.0240,True,1.0000
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'num_iterations': 2000}",0.0415,False,31.1250
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",0.4946,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",0.6221,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",0.4360,True,0.9000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",0.5389,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",0.5235,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2}",0.7603,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1}",0.6882,True,0.9000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2}",0.5603,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",1.2341,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",1.5495,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",1.0706,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2}",1.3107,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1}",1.2083,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2}",1.5441,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1}",1.0588,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2}",1.3417,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1}",1.0137,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2}",1.3173,True,1.0000
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1}",0.9717,True,0.9000
