Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio
BruteForce,{'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'},0.0071,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.1997,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.2507,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.1813,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.2201,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.2096,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.2623,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.1930,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.2268,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.4950,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.6093,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.4549,True,0.6667
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\1'}",0.5482,True,0.6667
