Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio
BruteForce,{'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'},60.3989,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.4897,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.6069,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.4451,True,0.9000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.5489,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.5390,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.6328,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.4812,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",0.5743,True,0.9000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.2444,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.5689,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.1281,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.4819,True,0.9000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.2919,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.7292,True,0.8750
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.1228,True,1.0000
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.4183,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.0775,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.3684,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.0477,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.2712,True,0.9000
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.1605,True,1.0000
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.4738,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.0726,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 200, 'tournament_size': 7, 'elitism_size': 20, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",1.3188,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",2.8385,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 10, 'mutation_prob': 0.2, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",3.4704,True,0.8750
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'elitism_size': 20, 'mutation_prob': 0.1, 'artifacts_root': './resources/examples/reports\\2024-09-24_11_37_13\\2b'}",2.6503,True,1.0000
