Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
BruteForce,"{'max_time': inf, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",106.4861,True,0.1500,0.0000,0.8500,inf,1500,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",3.0017,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",3.6531,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",4.2962,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",5.4462,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",3.1024,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",3.8848,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",4.6111,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",5.2779,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2'}",2.9572,True,0.1500,0.0000,0.8500,60,1500,No improvement threshold reached
