Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
BruteForce,"{'max_time': inf, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",65.4966,True,0.8750,0.0000,0.1250,inf,1500,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",8.1125,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",6.1536,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",9.5567,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",5.5372,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",4.9051,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",6.0508,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",4.2410,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",5.3255,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",3.8197,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",3.4552,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",5.5148,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",5.1971,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",3.0977,True,1.0000,0.0000,0.0000,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",3.9271,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",5.4931,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 1500, 'artifacts_root': './resources/examples/reports\\2024-09-28_14_47_21\\2b'}",5.3523,True,0.8750,0.0000,0.1250,60,1500,No improvement threshold reached
