Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.3475,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.5019,True,0.4286,0.0000,0.5714,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.8785,True,0.4688,0.0000,0.5312,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.9134,True,0.4688,0.0000,0.5312,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.6130,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.5346,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.1003,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.1385,True,0.4688,0.0000,0.5312,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.3453,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.5145,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.6396,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.3946,True,0.4688,0.0000,0.5312,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.3317,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.4739,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.6261,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.8061,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.6955,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.1560,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.7486,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",2.0528,True,0.4688,0.0000,0.5312,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.6965,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.0467,True,0.4286,0.0000,0.5714,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.3114,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",2.8044,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.7662,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.0343,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.3791,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.6593,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.9300,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.4003,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.3551,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",3.0060,True,0.4286,0.0000,0.5714,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.4965,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",2.1993,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",2.6960,True,0.4688,0.0000,0.5312,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",3.7031,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.5995,True,0.4286,0.0000,0.5714,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",3.7172,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",3.2374,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",3.4623,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",1.4451,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",2.1803,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",3.3833,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",8.0805,True,0.4688,0.0000,0.5312,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",2.2991,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",3.3517,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",4.3823,True,0.4211,0.0000,0.5789,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",5.4643,True,0.4211,0.0000,0.5789,60,100,Unknown
SimulatedAnnealing,"{'initial_temp': 3000, 'cooling_rate': 0.99, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.1496,True,0.5714,0.0000,0.4286,60,150,No improvement threshold reached
SimulatedAnnealing,"{'initial_temp': 3000, 'cooling_rate': 0.95, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.0328,True,0.6333,0.0000,0.3667,60,150,No improvement threshold reached
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.1489,True,0.4286,0.0000,0.5714,60,150,No improvement threshold reached
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.0250,True,0.5263,0.0000,0.4737,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.3943,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.4484,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.5280,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.4428,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.9113,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.8146,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.9019,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.8828,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.4574,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
VNSAlgorithm,"{'k_min': 1, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 60, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_02a2a6bc'}",0.3640,True,0.4211,0.0000,0.5789,60,150,No improvement threshold reached
