Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.4846,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.6558,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.8423,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",1.0263,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.4070,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.6559,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.7830,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",1.1179,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.5580,True,0.7000,0.0000,0.3000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_25e8653f'}",0.7229,True,0.7000,0.0000,0.3000,60,100,Unknown
