Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",0.7545,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.1228,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.5227,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",2.1122,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",0.7304,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.0885,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.3871,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.8394,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",0.7839,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.1880,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.7085,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",2.1408,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",0.7729,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.3124,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.6389,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",2.1156,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.7721,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",2.6992,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",3.6964,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",4.3616,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.6534,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",2.6606,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",3.4751,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",4.2621,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",1.7131,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",2.6897,True,0.8571,0.0000,0.1429,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_balanced_ff7b095c'}",3.3142,True,0.8571,0.0000,0.1429,60,100,Unknown
