Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",0.8098,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.3799,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.0571,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.9344,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",0.9298,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.4865,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.8691,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.6392,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",0.7831,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.4277,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.0098,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.6611,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",0.9799,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.4111,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.0773,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.7663,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.9791,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",3.2090,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",4.4062,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",5.1605,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.6781,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.9111,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",4.6058,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",5.3574,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.7223,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",3.0404,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",4.1751,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",6.0524,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",1.8197,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",3.2488,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",3.9672,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",3.8926,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",2.7613,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",5.8059,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",8.5591,False,19.7826,18.0000,-19.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_17393334'}",11.2602,False,19.7826,18.0000,-19.0000,60,100,Unknown
