Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",0.7124,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.2211,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.8456,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",2.5663,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",0.8047,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.2615,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.7830,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",2.6404,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",0.7750,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.4085,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.9793,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",2.4998,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",0.7909,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.2428,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.8086,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",2.6782,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.8049,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",2.7841,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",4.0546,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",5.0652,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",1.9931,False,14.3824,13.0000,-14.0000,60,100,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 60, 'no_improvement_threshold': 100, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_308dca73'}",2.8854,False,14.3824,13.0000,-14.0000,60,100,Unknown
