Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.2967,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.8206,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.0482,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.5556,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.3359,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.2129,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.9566,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.4315,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.4333,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.0213,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.8939,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.4752,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.4230,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.0283,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.0301,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.3221,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.9450,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",4.2563,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",5.6885,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",6.7282,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.0362,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",4.2127,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",5.8430,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",7.3410,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",3.2613,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",4.1358,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",5.6322,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",7.3114,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.9528,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",4.6172,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",6.1310,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",7.7934,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",5.6779,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",8.6636,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",11.7039,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",13.7149,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",5.5862,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",9.0177,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",11.9659,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",14.4174,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",5.9532,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",9.1279,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",11.5976,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",14.8396,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",6.3706,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",9.0846,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",12.1167,True,1.0000,0.0000,0.0000,80,150,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 80, 'no_improvement_threshold': 150, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",14.3045,True,1.0000,0.0000,0.0000,80,150,Unknown
SimulatedAnnealing,"{'initial_temp': 3000, 'cooling_rate': 0.99, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",0.3234,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
SimulatedAnnealing,"{'initial_temp': 3000, 'cooling_rate': 0.95, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",0.0443,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.99, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",0.3013,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
SimulatedAnnealing,"{'initial_temp': 5000, 'cooling_rate': 0.95, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",0.0947,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.4219,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.4770,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.6225,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 3, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",1.4081,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.6550,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.1, 'reroute_entire_path_prob': 0.5, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.6484,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
VNSAlgorithm,"{'k_min': 0, 'k_max': 5, 'move_prob': 0.2, 'reroute_entire_path_prob': 0.3, 'max_time': 80, 'no_improvement_threshold': 250, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\medium_graph_large_cd6cf5ed'}",2.8486,True,1.0000,0.0000,0.0000,80,250,No improvement threshold reached
