Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0629,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0477,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0550,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0905,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0734,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0601,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0638,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0686,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0426,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0532,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0797,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.1049,True,0.8333,0.0000,0.1667,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_5f7b0598'}",0.0445,True,0.8333,0.0000,0.1667,20,40,Unknown
