Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0476,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1102,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0920,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1195,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0747,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0961,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1105,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1111,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0640,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0685,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0795,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1425,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0632,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0832,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.0904,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1101,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1680,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1639,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.4571,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.3940,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1419,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1636,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2611,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2380,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1001,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2007,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2270,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2052,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.1190,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2168,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.3031,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2510,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.3233,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.3637,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.4899,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.4572,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.2709,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.3485,True,0.4583,0.0000,0.5417,20,40,Unknown
GeneticAlgorithm,"{'population_size': 400, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_832b8790'}",0.4914,True,0.4583,0.0000,0.5417,20,40,Unknown
