Algorithm,Parameters,Elapsed Time (s),Feasible,Max Flow-to-Capacity Ratio,Overflow,Score,Max Time In Seconds,No Improvement Threshold,Stopping Reason
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0629,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0639,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0479,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0834,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0426,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0678,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0794,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0744,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0475,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0451,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0446,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0531,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0489,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0468,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0810,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 100, 'num_generations': 500, 'tournament_size': 10, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0789,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.0794,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.1580,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.1273,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 5, 'mutation_prob': 0.2, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.1591,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.05, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.1421,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.1, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.1426,True,0.1667,0.0000,0.8333,20,40,Unknown
GeneticAlgorithm,"{'population_size': 200, 'num_generations': 300, 'tournament_size': 10, 'mutation_prob': 0.15, 'max_time': 20, 'no_improvement_threshold': 40, 'artifacts_root': './resources/generated/reports\\2024-09-28_11_13_07\\small_graph_b8094f47'}",0.1732,True,0.1667,0.0000,0.8333,20,40,Unknown
